"Carimbo de data/hora","Qual o seu RA?","Qual a sua altura?","Qual a sua cor favorita?","Qual o número de seu calçado?"
"2023/04/26 4:53:07 PM GMT-3","1110482212025","1.85","Cinza","44"
"2023/04/26 4:53:11 PM GMT-3","1110482212030","1.80","laranja","44"
"2023/04/26 4:53:14 PM GMT-3","1110482212009","1.63","vermelho","39"
"2023/04/26 4:53:37 PM GMT-3","1110482212036","1.56","azul","37"
"2023/04/26 4:53:55 PM GMT-3","1110482222039","1.90","azul","42"
"2023/04/26 4:54:04 PM GMT-3","1110482212004","1.83","laranja","40"
"2023/04/26 4:54:06 PM GMT-3","1110482212026","1.64","vermelho","39"
"2023/04/26 4:54:08 PM GMT-3","1110482212002","1.88","vermelho","42"
"2023/04/26 4:54:17 PM GMT-3","1110482212035","1.85","roxo","43-44"
"2023/04/26 4:54:25 PM GMT-3","111048212031","1.50","laranja","35"
"2023/04/26 4:54:45 PM GMT-3","1110482212016","1.74","Verde","35"
"2023/04/26 4:54:58 PM GMT-3","1110482212001","1,70","Preto","42"
"2023/04/26 4:55:14 PM GMT-3","1110482212019","1.68","Branco","37"
"2023/04/26 4:55:37 PM GMT-3","1110482212018","1.64","cinza","36"
"2023/04/26 4:55:51 PM GMT-3","1110482212024","1.65","preto","38"
"2023/04/26 4:55:59 PM GMT-3","1110482212021","1.70","preto","40/41"
"2023/04/26 4:56:05 PM GMT-3","1110482212039","1.84","preto","43"
"2023/04/26 4:56:25 PM GMT-3","1110482212029","1.81","azul","42"
"2023/04/26 4:56:28 PM GMT-3","1110482212011","1.69","roxo","38"
"2023/04/26 4:56:34 PM GMT-3","1110482212007","1.65","preto","40"
"2023/04/26 4:56:42 PM GMT-3","1110482212022","1.55","preto","36"
"2023/04/26 4:57:57 PM GMT-3","1110482212043","1.55","verde","35"